string,log_prob,count
"fand(istexture(obj_1(d),fplain()),istexture(obj_2(d),fcheckered()))",-6.643789733147661,125
"fand(sameshape(d),istexture(obj_2(d),fstripes()))",-6.643789733147661,125
"pairtexture(d,fplain(),fstripes())",-6.643789733147661,125
"fand(isshape(obj_1(d),ftriangle()),isshape(obj_2(d),fdiamond()))",-6.643789733147661,125
"fand(isshape(obj_1(d),fsquare()),difftexture(d))",-6.643789733147661,125
"fand(isshape(obj_1(d),fdiamond()),isshape(obj_2(d),fcircle()))",-6.643789733147662,122
"fand(isshape(obj_1(d),fdiamond()),isshape(obj_2(d),ftriangle()))",-6.643789733147662,122
"fand(isshape(obj_2(d),fsquare()),difftexture(d))",-6.643789733147662,121
"fand(istexture(obj_1(d),fplain()),istexture(obj_2(d),fstripes()))",-6.643789733147662,120
"fand(isshape(obj_1(d),fcircle()),isshape(obj_2(d),ftriangle()))",-6.643789733147662,120
"fand(isshape(obj_2(d),ftriangle()),sametexture(d))",-6.643789733147662,120
"fand(istexture(obj_1(d),fdots()),istexture(obj_2(d),fcheckered()))",-6.643789733147662,120
"fand(sameshape(d),istexture(obj_1(d),fstripes()))",-6.643789733147662,120
"fand(sameshape(d),istexture(obj_1(d),fdots()))",-6.643789733147662,120
"pairshape(d,fcircle(),fcircle())",-6.6437897331476625,119
"fand(isshape(obj_1(d),fdiamond()),difftexture(d))",-6.6437897331476625,118
"fand(sameshape(d),istexture(obj_2(d),fcheckered()))",-6.6437897331476625,118
"fand(diffshape(d),istexture(obj_2(d),fdots()))",-6.6437897331476625,117
"fand(istexture(obj_1(d),fcheckered()),istexture(obj_2(d),fstripes()))",-6.6437897331476625,117
"fand(isshape(obj_1(d),fdiamond()),isshape(obj_2(d),fdiamond()))",-6.6437897331476625,117
"pairtexture(d,fdots(),fstripes())",-6.643789733147663,116
"fand(isshape(obj_1(d),ftriangle()),difftexture(d))",-6.643789733147663,116
"pairshape(d,ftriangle(),fsquare())",-6.643789733147663,115
"fand(isshape(obj_1(d),fcircle()),isshape(obj_2(d),fsquare()))",-6.643789733147663,115
"fand(diffshape(d),istexture(obj_2(d),fplain()))",-6.643789733147663,115
"pairtexture(d,fcheckered(),fdots())",-6.643789733147663,115
"pairtexture(d,fdots(),fdots())",-6.643789733147663,114
"fand(diffshape(d),istexture(obj_2(d),fcheckered()))",-6.643789733147664,113
"pairshape(d,fdiamond(),fdiamond())",-6.643789733147664,112
"fand(isshape(obj_1(d),fsquare()),sametexture(d))",-6.643789733147664,112
"pairshape(d,fcircle(),fdiamond())",-6.643789733147665,110
"fand(istexture(obj_1(d),fcheckered()),istexture(obj_2(d),fplain()))",-6.643789733147665,110
"fand(istexture(obj_1(d),fcheckered()),istexture(obj_2(d),fcheckered()))",-6.643789733147666,107
"fand(isshape(obj_2(d),fdiamond()),difftexture(d))",-6.643789733147666,107
"fand(fand(isshape(obj_1(d),fsquare()),isshape(obj_2(d),fdiamond())),sametexture(d))",-8.030084094267567,56
"fdisj(istexture(obj_1(d),fplain()),istexture(obj_1(d),fplain()))",-8.030084094267567,45
"fand(fand(isshape(obj_1(d),fsquare()),isshape(obj_2(d),fsquare())),difftexture(d))",-8.030084094267567,45
"fand(sameshape(d),fand(istexture(obj_1(d),fdots()),istexture(obj_2(d),fstripes())))",-8.030084094267567,43
"fand(sameshape(d),fand(istexture(obj_1(d),fcheckered()),istexture(obj_2(d),fplain())))",-8.030084094267567,43
"fdisj(isshape(obj_1(d),fsquare()),isshape(obj_1(d),fsquare()))",-8.030084094267567,43
"fand(fand(isshape(obj_1(d),fcircle()),isshape(obj_2(d),fcircle())),sametexture(d))",-8.030084094267567,43
"fdisj(isshape(obj_2(d),fdiamond()),isshape(obj_1(d),ftriangle()))",-8.030084094267565,42
"fand(pairshape(d,fdiamond(),fcircle()),difftexture(d))",-8.030084094267565,42
"fand(pairshape(d,fdiamond(),fsquare()),difftexture(d))",-8.030084094267565,42
"fand(diffshape(d),fand(istexture(obj_1(d),fcheckered()),istexture(obj_2(d),fplain())))",-8.030084094267565,41
"fand(diffshape(d),fand(istexture(obj_1(d),fdots()),istexture(obj_2(d),fdots())))",-8.030084094267565,41
"fdisj(istexture(obj_1(d),fdots()),istexture(obj_1(d),fstripes()))",-8.030084094267565,41
"fand(fand(isshape(obj_1(d),fsquare()),isshape(obj_2(d),ftriangle())),sametexture(d))",-8.030084094267565,41
"fdisj(isshape(obj_1(d),fdiamond()),isshape(obj_2(d),ftriangle()))",-8.030084094267565,40
"fand(sameshape(d),pairtexture(d,fcheckered(),fplain()))",-8.030084094267565,40
"fand(fand(isshape(obj_1(d),fdiamond()),isshape(obj_2(d),fdiamond())),difftexture(d))",-8.030084094267565,40
"fdisj(istexture(obj_1(d),fstripes()),istexture(obj_2(d),fdots()))",-8.030084094267565,40
"fand(pairshape(d,fsquare(),fsquare()),sametexture(d))",-8.030084094267565,40
"fdisj(isshape(obj_1(d),ftriangle()),isshape(obj_1(d),ftriangle()))",-8.030084094267565,40
"fdisj(istexture(obj_1(d),fstripes()),istexture(obj_1(d),fcheckered()))",-8.030084094267565,40
"fdisj(istexture(obj_1(d),fstripes()),istexture(obj_1(d),fstripes()))",-8.030084094267565,40
"fand(sameshape(d),fand(istexture(obj_1(d),fdots()),istexture(obj_2(d),fplain())))",-8.030084094267565,40
"fand(pairshape(d,fsquare(),fcircle()),difftexture(d))",-8.030084094267565,40
"fand(pairshape(d,fdiamond(),fdiamond()),sametexture(d))",-8.030084094267565,40
"fdisj(isshape(obj_2(d),fdiamond()),isshape(obj_1(d),fsquare()))",-8.030084094267565,40
"fand(fand(isshape(obj_1(d),fcircle()),isshape(obj_2(d),fdiamond())),sametexture(d))",-8.030084094267565,39
"fdisj(istexture(obj_2(d),fplain()),istexture(obj_2(d),fstripes()))",-8.030084094267565,39
"fdisj(istexture(obj_1(d),fcheckered()),istexture(obj_1(d),fcheckered()))",-8.030084094267565,39
"fdisj(isshape(obj_1(d),fsquare()),isshape(obj_1(d),fcircle()))",-8.030084094267565,39
"fand(pairshape(d,fsquare(),fcircle()),sametexture(d))",-8.030084094267565,39
"fand(sameshape(d),pairtexture(d,fplain(),fdots()))",-8.030084094267565,39
"fdisj(isshape(obj_1(d),fcircle()),isshape(obj_1(d),ftriangle()))",-8.030084094267565,39
"fand(diffshape(d),pairtexture(d,fdots(),fplain()))",-8.030084094267565,39
"fdisj(istexture(obj_2(d),fcheckered()),istexture(obj_1(d),fplain()))",-8.030084094267565,39
"fdisj(istexture(obj_2(d),fstripes()),istexture(obj_2(d),fcheckered()))",-8.030084094267565,39
"fand(fand(isshape(obj_1(d),fsquare()),isshape(obj_2(d),fsquare())),sametexture(d))",-8.030084094267565,39
"fand(diffshape(d),pairtexture(d,fstripes(),fstripes()))",-8.030084094267565,39
"fand(fand(isshape(obj_1(d),ftriangle()),isshape(obj_2(d),ftriangle())),sametexture(d))",-8.030084094267565,39
"fand(diffshape(d),pairtexture(d,fplain(),fdots()))",-8.030084094267565,38
"fand(diffshape(d),fand(istexture(obj_1(d),fplain()),istexture(obj_2(d),fdots())))",-8.030084094267565,38
"fand(pairshape(d,fcircle(),fdiamond()),difftexture(d))",-8.030084094267565,38
"fdisj(isshape(obj_1(d),ftriangle()),isshape(obj_2(d),ftriangle()))",-8.030084094267565,38
"fdisj(isshape(obj_2(d),ftriangle()),isshape(obj_2(d),fdiamond()))",-8.030084094267565,38
"fand(pairshape(d,ftriangle(),fdiamond()),sametexture(d))",-8.030084094267565,38
"fdisj(isshape(obj_1(d),fsquare()),isshape(obj_2(d),fsquare()))",-8.030084094267565,38
"fdisj(isshape(obj_2(d),ftriangle()),isshape(obj_2(d),fsquare()))",-8.030084094267565,38
"fdisj(isshape(obj_2(d),fcircle()),isshape(obj_2(d),fcircle()))",-8.030084094267565,38
"fdisj(isshape(obj_2(d),fdiamond()),isshape(obj_2(d),ftriangle()))",-8.030084094267565,38
"fand(sameshape(d),pairtexture(d,fdots(),fstripes()))",-8.030084094267565,38
"fdisj(isshape(obj_2(d),fcircle()),isshape(obj_1(d),ftriangle()))",-8.030084094267565,38
"fdisj(isshape(obj_2(d),fdiamond()),isshape(obj_2(d),fsquare()))",-8.030084094267565,38
"fand(diffshape(d),pairtexture(d,fcheckered(),fplain()))",-8.030084094267565,38
"fdisj(isshape(obj_1(d),fsquare()),isshape(obj_1(d),fdiamond()))",-8.030084094267563,37
"fdisj(istexture(obj_1(d),fdots()),istexture(obj_2(d),fdots()))",-8.030084094267563,37
"fdisj(istexture(obj_1(d),fcheckered()),istexture(obj_2(d),fdots()))",-8.030084094267563,37
"fand(sameshape(d),fand(istexture(obj_1(d),fstripes()),istexture(obj_2(d),fplain())))",-8.030084094267563,37
"fdisj(istexture(obj_2(d),fdots()),istexture(obj_2(d),fplain()))",-8.030084094267563,37
"fdisj(isshape(obj_1(d),fsquare()),isshape(obj_2(d),ftriangle()))",-8.030084094267563,37
"fdisj(istexture(obj_1(d),fplain()),istexture(obj_2(d),fplain()))",-8.030084094267563,37
"fand(pairshape(d,fsquare(),ftriangle()),difftexture(d))",-8.030084094267563,37
"fand(diffshape(d),fand(istexture(obj_1(d),fcheckered()),istexture(obj_2(d),fdots())))",-8.030084094267563,37
"fand(fand(isshape(obj_1(d),fdiamond()),isshape(obj_2(d),ftriangle())),sametexture(d))",-8.030084094267563,37
"fand(sameshape(d),fand(istexture(obj_1(d),fplain()),istexture(obj_2(d),fplain())))",-8.030084094267563,37
"fdisj(isshape(obj_2(d),fcircle()),isshape(obj_1(d),fcircle()))",-8.030084094267563,37
"fand(sameshape(d),pairtexture(d,fstripes(),fcheckered()))",-8.030084094267563,37
"fdisj(istexture(obj_2(d),fplain()),istexture(obj_1(d),fstripes()))",-8.030084094267563,36
"fand(fand(isshape(obj_1(d),ftriangle()),isshape(obj_2(d),ftriangle())),difftexture(d))",-8.030084094267563,36
"fand(diffshape(d),fand(istexture(obj_1(d),fplain()),istexture(obj_2(d),fstripes())))",-8.030084094267563,36
"fand(pairshape(d,fsquare(),fsquare()),difftexture(d))",-8.030084094267563,36
"fdisj(istexture(obj_1(d),fplain()),istexture(obj_1(d),fstripes()))",-8.030084094267563,36
"fand(diffshape(d),pairtexture(d,fstripes(),fplain()))",-8.030084094267563,36
"fand(fand(isshape(obj_1(d),fdiamond()),isshape(obj_2(d),fcircle())),difftexture(d))",-8.030084094267563,36
"fdisj(isshape(obj_1(d),fdiamond()),isshape(obj_1(d),fsquare()))",-8.030084094267563,36
"fand(pairshape(d,ftriangle(),fsquare()),sametexture(d))",-8.030084094267563,36
"fdisj(isshape(obj_2(d),fsquare()),isshape(obj_2(d),ftriangle()))",-8.030084094267563,35
"fdisj(isshape(obj_2(d),fdiamond()),isshape(obj_2(d),fcircle()))",-8.030084094267563,35
"fdisj(isshape(obj_1(d),ftriangle()),isshape(obj_2(d),fcircle()))",-8.030084094267563,35
"fand(fand(isshape(obj_1(d),fcircle()),isshape(obj_2(d),ftriangle())),sametexture(d))",-8.030084094267563,35
"fand(pairshape(d,ftriangle(),fdiamond()),difftexture(d))",-8.030084094267563,35
"fdisj(istexture(obj_2(d),fstripes()),istexture(obj_1(d),fstripes()))",-8.030084094267563,35
"fand(pairshape(d,fdiamond(),fdiamond()),difftexture(d))",-8.030084094267563,35
"fand(fand(isshape(obj_1(d),fcircle()),isshape(obj_2(d),fdiamond())),difftexture(d))",-8.030084094267563,35
"fdisj(isshape(obj_1(d),fcircle()),isshape(obj_2(d),fsquare()))",-8.030084094267563,35
"fand(diffshape(d),pairtexture(d,fcheckered(),fcheckered()))",-8.030084094267563,35
"fand(pairshape(d,ftriangle(),ftriangle()),difftexture(d))",-8.030084094267563,35
"fand(sameshape(d),fand(istexture(obj_1(d),fplain()),istexture(obj_2(d),fcheckered())))",-8.030084094267563,35
"fdisj(isshape(obj_1(d),fdiamond()),isshape(obj_1(d),fcircle()))",-8.030084094267563,35
"fdisj(isshape(obj_2(d),ftriangle()),isshape(obj_1(d),fdiamond()))",-8.030084094267563,35
"fand(sameshape(d),fand(istexture(obj_1(d),fstripes()),istexture(obj_2(d),fcheckered())))",-8.030084094267563,35
"fand(sameshape(d),fand(istexture(obj_1(d),fdots()),istexture(obj_2(d),fdots())))",-8.030084094267563,34
"fdisj(isshape(obj_1(d),ftriangle()),isshape(obj_1(d),fsquare()))",-8.030084094267563,34
"fand(pairshape(d,ftriangle(),fcircle()),sametexture(d))",-8.030084094267563,34
"fand(diffshape(d),fand(istexture(obj_1(d),fplain()),istexture(obj_2(d),fcheckered())))",-8.030084094267563,34
"fand(pairshape(d,fcircle(),fsquare()),sametexture(d))",-8.030084094267563,34
"fdisj(isshape(obj_1(d),fdiamond()),isshape(obj_1(d),fdiamond()))",-8.030084094267563,34
"fdisj(istexture(obj_2(d),fstripes()),istexture(obj_1(d),fcheckered()))",-8.030084094267563,34
"fand(fand(isshape(obj_1(d),ftriangle()),isshape(obj_2(d),fsquare())),sametexture(d))",-8.030084094267563,34
"fand(fand(isshape(obj_1(d),fdiamond()),isshape(obj_2(d),ftriangle())),difftexture(d))",-8.030084094267563,34
"fdisj(istexture(obj_1(d),fcheckered()),istexture(obj_2(d),fplain()))",-8.030084094267563,34
"fdisj(istexture(obj_2(d),fcheckered()),istexture(obj_2(d),fstripes()))",-8.030084094267563,34
"fdisj(istexture(obj_1(d),fstripes()),istexture(obj_2(d),fcheckered()))",-8.030084094267563,34
"fdisj(isshape(obj_1(d),fsquare()),isshape(obj_2(d),fdiamond()))",-8.030084094267563,34
"fand(fand(isshape(obj_1(d),fsquare()),isshape(obj_2(d),fdiamond())),difftexture(d))",-8.030084094267563,34
"fdisj(istexture(obj_2(d),fplain()),istexture(obj_2(d),fcheckered()))",-8.030084094267563,34
"fdisj(istexture(obj_1(d),fstripes()),istexture(obj_2(d),fplain()))",-8.030084094267563,34
"fdisj(istexture(obj_2(d),fdots()),istexture(obj_1(d),fcheckered()))",-8.030084094267563,34
"fand(fand(isshape(obj_1(d),fsquare()),isshape(obj_2(d),ftriangle())),difftexture(d))",-8.030084094267563,34
"fdisj(istexture(obj_2(d),fstripes()),istexture(obj_2(d),fdots()))",-8.030084094267563,34
"fdisj(istexture(obj_2(d),fstripes()),istexture(obj_2(d),fstripes()))",-8.030084094267563,34
"fdisj(istexture(obj_1(d),fcheckered()),istexture(obj_1(d),fdots()))",-8.030084094267563,34
"fdisj(isshape(obj_2(d),fdiamond()),isshape(obj_2(d),fdiamond()))",-8.030084094267563,34
"fdisj(istexture(obj_1(d),fplain()),istexture(obj_2(d),fdots()))",-8.030084094267561,33
