id,prolific_id
9,653c000482098e271126e2e0
10,58b7d3b5f6546e0001ed7233
11,677c455afc1062faab5b165e
12,660ea65b18972d0e6a14a896
13,602c0fc2eff74b4748e9b41e
14,60719f4b18e2b30c9e5a562d
15,5e39fa4332667b2143e1d998
16,675230b036aa5c694a8c4dd5
17,5ca0de7d8001d50018c69031
18,5ea026ebbc5a78011ea73ffb
20,5d8b66f5d189bd001a378273
21,5c2bb9cc8c35040001a59dde
22,651ab77f6ee1c6bf2ecf4802
23,6662bbd11599452943304086
24,670042ea1a850f93c6dec211
25,6658c1554c1d2a4e2d02e301
26,66e42249ff3f1be588b9bf04
27,571bdaa76b0894001362f780
28,6596a3a22d0772e300a5aab3
29,67744dd5d793cc3d79ba38fc
