condition,action,log_cum_rewards_mean,highest_levels_mean,epi_probs_mean,recover_rate_mean,n,log_cum_rewards_ci_lo,log_cum_rewards_ci_hi,highest_levels_ci_lo,highest_levels_ci_hi,epi_probs_ci_lo,epi_probs_ci_hi,recover_rate_ci_lo,recover_rate_ci_hi
hard,0,0.0,0.24,0.499375,0.5002916666666667,100,0.0,0.0,0.15586999958577813,0.32413000041422185,0.4933834401043497,0.5053665598956503,0.49310877404345504,0.5074745592898783
hard,1,0.0,0.59,0.496375,0.5055416666666667,100,0.0,0.0,0.43465447310182137,0.7453455268981786,0.4901493296643698,0.5026006703356303,0.49932097599341335,0.5117623573399199
hard,2,0.0,1.0,0.4919166666666666,0.5044166666666666,100,0.0,0.0,0.7806441017410061,1.219355898258994,0.4856048456705263,0.4982284876628069,0.49754675519606406,0.5112865781372692
hard,3,0.0,1.51,0.5002916666666667,0.5087916666666666,100,0.0,0.0,1.229343053504529,1.790656946495471,0.49350816715472545,0.5070751661786079,0.5020784065522634,0.5155049267810698
hard,4,0.0,2.09,0.4978333333333333,0.5055,100,0.0,0.0,1.7430616006705326,2.4369383993294673,0.4916230207412344,0.5040436459254323,0.4994385679148769,0.511561432085123
hard,5,1.151292546497033,2.58,0.49774999999999997,0.5088333333333334,100,0.47092212965154456,1.8316629633425214,2.1978444211258372,2.962155578874163,0.492060596998846,0.503439403001154,0.5027194467826842,0.5149472198839825
hard,6,2.532843602293472,2.95,0.5036666666666667,0.5066666666666666,100,1.593373834896663,3.4723133696902813,2.5586191758722086,3.341380824127792,0.4965819629846045,0.510751370348729,0.5000188481928997,0.5133144851404335
hard,7,4.029523912739615,3.32,0.49479166666666663,0.515625,100,2.947803892550782,5.111243932928447,2.935112607836442,3.704887392163558,0.48867767543764146,0.5009056578956919,0.5098265737191496,0.5214234262808504
hard,8,5.641333477835461,3.62,0.49700000000000005,0.5145000000000001,100,4.50760959591548,6.775057359755443,3.268964231584486,3.9710357684155144,0.4899785277698806,0.5040214722301195,0.5084024431858217,0.5205975568141784
hard,9,6.562367515033087,3.88,0.49433333333333335,0.5186666666666667,100,5.439584529672132,7.685150500394043,3.5732051493195485,4.186794850680451,0.48836865591913536,0.5002980107475313,0.5127530785360032,0.5245802547973303
hard,10,6.562367515033087,4.13,0.4930833333333333,0.5205833333333334,100,5.439584529672132,7.685150500394043,3.860400578485769,4.399599421514231,0.48646270898370436,0.4997039576829623,0.5139570131569696,0.5272096535096972
hard,11,7.253143042931307,4.36,0.49333333333333335,0.5177499999999999,100,6.158190481553909,8.348095604308705,4.1260572322428875,4.593942767757113,0.4869207282520758,0.4997459384145909,0.5113472567344649,0.524152743265535
hard,12,8.05904782547923,4.54,0.49450000000000005,0.5244166666666668,100,7.019764846878193,9.098330804080266,4.340234950125115,4.739765049874885,0.4878048424957486,0.5011951575042515,0.5181776304828636,0.5306557028504699
hard,13,9.095211117326558,4.62,0.49391666666666667,0.5255833333333333,100,8.171476200485273,10.018946034167843,4.444294295637693,4.795705704362307,0.4874035544409947,0.5004297788923386,0.5194499304553056,0.531716736211361
hard,14,9.555728135925373,4.68,0.49024999999999996,0.526,100,8.703829988184948,10.407626283665797,4.525192457052198,4.834807542947801,0.4837858932745834,0.49671410672541655,0.5204064881862309,0.5315935118137691
hard,15,9.555728135925373,4.76,0.49412500000000004,0.5272083333333333,100,8.703829988184948,10.407626283665797,4.626048559982252,4.893951440017748,0.4879107671715276,0.5003392328284725,0.520464475731936,0.5339521909347306
